Code	Description
V65	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle"
V650	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident"
V651	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident"
V652	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident"
V653	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Unspecified occupant of heavy transport vehicle injured in nontraffic accident"
V654	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Person injured while boarding or alighting"
V655	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Driver injured in traffic accident"
V656	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Passenger injured in traffic accident"
V657	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident"
V659	"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Unspecified occupant of heavy transport vehicle injured in traffic accident"
V66	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle"
V660	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident"
V661	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident"
V662	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident"
V663	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Unspecified occupant of heavy transport vehicle injured in nontraffic accident"
V664	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Person injured while boarding or alighting"
V665	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Driver injured in traffic accident"
V666	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Passenger injured in traffic accident"
V667	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident"
V669	"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Unspecified occupant of heavy transport vehicle injured in traffic accident"
V67	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object"
V670	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Driver injured in nontraffic accident"
V671	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Passenger injured in nontraffic accident"
V672	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident"
V673	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Unspecified occupant of heavy transport vehicle injured in nontraffic accident"
V674	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Person injured while boarding or alighting"
V675	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Driver injured in traffic accident"
V676	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Passenger injured in traffic accident"
V677	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident"
V679	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object: Unspecified occupant of heavy transport vehicle injured in traffic accident"
V68	"Occupant of heavy transport vehicle injured in noncollision transport accident"
V680	"Occupant of heavy transport vehicle injured in noncollision transport accident: Driver injured in nontraffic accident"
V681	"Occupant of heavy transport vehicle injured in noncollision transport accident: Passenger injured in nontraffic accident"
V682	"Occupant of heavy transport vehicle injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident"
V683	"Occupant of heavy transport vehicle injured in noncollision transport accident: Unspecified occupant of heavy transport vehicle injured in nontraffic accident"
V684	"Occupant of heavy transport vehicle injured in noncollision transport accident: Person injured while boarding or alighting"
V685	"Occupant of heavy transport vehicle injured in noncollision transport accident: Driver injured in traffic accident"
V686	"Occupant of heavy transport vehicle injured in noncollision transport accident: Passenger injured in traffic accident"
V687	"Occupant of heavy transport vehicle injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident"
V689	"Occupant of heavy transport vehicle injured in noncollision transport accident: Unspecified occupant of heavy transport vehicle injured in traffic accident"
V69	"Occupant of heavy transport vehicle injured in other and unspecified transport accidents"
V690	"Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
V691	"Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
V692	"Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident"
V693	"Occupant [any] of heavy transport vehicle injured in unspecified nontraffic accident"
V694	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"
V695	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
V696	"Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident"
V698	"Occupant [any] of heavy transport vehicle injured in other specified transport accidents"
V699	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"
V70	"Bus occupant injured in collision with pedestrian or animal"
V700	"Bus occupant injured in collision with pedestrian or animal: Driver injured in nontraffic accident"
V701	"Bus occupant injured in collision with pedestrian or animal: Passenger injured in nontraffic accident"
V702	"Bus occupant injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident"
V703	"Bus occupant injured in collision with pedestrian or animal: Unspecified bus occupant injured in nontraffic accident"
V704	"Bus occupant injured in collision with pedestrian or animal: Person injured while boarding or alighting"
V705	"Bus occupant injured in collision with pedestrian or animal: Driver injured in traffic accident"
V706	"Bus occupant injured in collision with pedestrian or animal: Passenger injured in traffic accident"
V707	"Bus occupant injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident"
V709	"Bus occupant injured in collision with pedestrian or animal: Unspecified bus occupant injured in traffic accident"
V71	"Bus occupant injured in collision with pedal cycle"
V710	"Bus occupant injured in collision with pedal cycle: Driver injured in nontraffic accident"
V711	"Bus occupant injured in collision with pedal cycle: Passenger injured in nontraffic accident"
V712	"Bus occupant injured in collision with pedal cycle: Person on outside of vehicle injured in nontraffic accident"
V713	"Bus occupant injured in collision with pedal cycle: Unspecified bus occupant injured in nontraffic accident"
V714	"Bus occupant injured in collision with pedal cycle: Person injured while boarding or alighting"
V715	"Bus occupant injured in collision with pedal cycle: Driver injured in traffic accident"
V716	"Bus occupant injured in collision with pedal cycle: Passenger injured in traffic accident"
V717	"Bus occupant injured in collision with pedal cycle: Person on outside of vehicle injured in traffic accident"
V719	"Bus occupant injured in collision with pedal cycle: Unspecified bus occupant injured in traffic accident"
V72	"Bus occupant injured in collision with two- or three-wheeled motor vehicle"
V720	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Driver injured in nontraffic accident"
V721	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Passenger injured in nontraffic accident"
V722	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in nontraffic accident"
V723	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Unspecified bus occupant injured in nontraffic accident"
V724	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Person injured while boarding or alighting"
V725	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Driver injured in traffic accident"
V726	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Passenger injured in traffic accident"
V727	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in traffic accident"
V729	"Bus occupant injured in collision with two- or three-wheeled motor vehicle: Unspecified bus occupant injured in traffic accident"
V73	"Bus occupant injured in collision with car	 pick-up truck or van"
V730	"Bus occupant injured in collision with car	 pick-up truck or van: Driver injured in nontraffic accident"
V731	"Bus occupant injured in collision with car	 pick-up truck or van: Passenger injured in nontraffic accident"
V732	"Bus occupant injured in collision with car	 pick-up truck or van: Person on outside of vehicle injured in nontraffic accident"
V733	"Bus occupant injured in collision with car	 pick-up truck or van: Unspecified bus occupant injured in nontraffic accident"
V734	"Bus occupant injured in collision with car	 pick-up truck or van: Person injured while boarding or alighting"
V735	"Bus occupant injured in collision with car	 pick-up truck or van: Driver injured in traffic accident"
V736	"Bus occupant injured in collision with car	 pick-up truck or van: Passenger injured in traffic accident"
V737	"Bus occupant injured in collision with car	 pick-up truck or van: Person on outside of vehicle injured in traffic accident"
V739	"Bus occupant injured in collision with car	 pick-up truck or van: Unspecified bus occupant injured in traffic accident"
V74	"Bus occupant injured in collision with heavy transport vehicle or bus"
V740	"Bus occupant injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident"
V741	"Bus occupant injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident"
V742	"Bus occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident"
V743	"Bus occupant injured in collision with heavy transport vehicle or bus: Unspecified bus occupant injured in nontraffic accident"
V744	"Bus occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting"
V745	"Bus occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident"
V746	"Bus occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident"
V747	"Bus occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident"
V749	"Bus occupant injured in collision with heavy transport vehicle or bus: Unspecified bus occupant injured in traffic accident"
V75	"Bus occupant injured in collision with railway train or railway vehicle"
V750	"Bus occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident"
V751	"Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident"
V752	"Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident"
V753	"Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in nontraffic accident"
V754	"Bus occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting"
V755	"Bus occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident"
V756	"Bus occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident"
V757	"Bus occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident"
V759	"Bus occupant injured in collision with railway train or railway vehicle: Unspecified bus occupant injured in traffic accident"
V76	"Bus occupant injured in collision with other nonmotor vehicle"
V760	"Bus occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident"
V761	"Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident"
V762	"Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident"
V763	"Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in nontraffic accident"
V764	"Bus occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting"
V765	"Bus occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident"
V766	"Bus occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident"
V767	"Bus occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident"
V769	"Bus occupant injured in collision with other nonmotor vehicle: Unspecified bus occupant injured in traffic accident"
V77	"Bus occupant injured in collision with fixed or stationary object"
V770	"Bus occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident"
V771	"Bus occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident"
V772	"Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident"
V773	"Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in nontraffic accident"
V774	"Bus occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting"
V775	"Bus occupant injured in collision with fixed or stationary object: Driver injured in traffic accident"
V776	"Bus occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident"
V777	"Bus occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident"
V779	"Bus occupant injured in collision with fixed or stationary object: Unspecified bus occupant injured in traffic accident"
V78	"Bus occupant injured in noncollision transport accident"
V780	"Bus occupant injured in noncollision transport accident: Driver injured in nontraffic accident"
V781	"Bus occupant injured in noncollision transport accident: Passenger injured in nontraffic accident"
V782	"Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident"
V783	"Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in nontraffic accident"
V784	"Bus occupant injured in noncollision transport accident: Person injured while boarding or alighting"
V785	"Bus occupant injured in noncollision transport accident: Driver injured in traffic accident"
V786	"Bus occupant injured in noncollision transport accident: Passenger injured in traffic accident"
V787	"Bus occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident"
V789	"Bus occupant injured in noncollision transport accident: Unspecified bus occupant injured in traffic accident"
V79	"Bus occupant injured in other and unspecified transport accidents"
V790	"Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
V791	"Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
V792	"Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident"
V793	"Bus occupant [any] injured in unspecified nontraffic accident"
V794	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"
V795	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
V796	"Unspecified bus occupant injured in collision with other and unspecified motor vehicles in traffic accident"
V798	"Bus occupant [any] injured in other specified transport accidents"
V799	"Bus occupant [any] injured in unspecified traffic accident"
V80	"Animal-rider or occupant of animal-drawn vehicle injured in transport accident"
V800	"Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"
V801	"Rider or occupant injured in collision with pedestrian or animal"
V802	"Rider or occupant injured in collision with pedal cycle"
V803	"Rider or occupant injured in collision with two- or three-wheeled motor vehicle"
V804	"Rider or occupant injured in collision with car	 pick-up truck	 van	 heavy transport vehicle or bus"
V805	"Rider or occupant injured in collision with other specified motor vehicle"
V806	"Rider or occupant injured in collision with railway train or railway vehicle"
V807	"Rider or occupant injured in collision with other nonmotor vehicle"
V808	"Rider or occupant injured in collision with fixed or stationary object"
V809	"Rider or occupant injured in other and unspecified transport accidents"
V81	"Occupant of railway train or railway vehicle injured in transport accident"
V810	"Occupant of railway train or railway vehicle injured in collision with motor vehicle in nontraffic accident"
V811	"Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident"
V812	"Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock"
V813	"Occupant of railway train or railway vehicle injured in collision with other object"
V814	"Person injured while boarding or alighting from railway train or railway vehicle"
V815	"Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle"
V816	"Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle"
V817	"Occupant of railway train or railway vehicle injured in derailment without antecedent collision"
V818	"Occupant of railway train or railway vehicle injured in other specified railway accidents"
V819	"Occupant of railway train or railway vehicle injured in unspecified railway accident"
V82	"Occupant of streetcar injured in transport accident"
V820	"Occupant of streetcar injured in collision with motor vehicle in nontraffic accident"
V821	"Occupant of streetcar injured in collision with motor vehicle in traffic accident"
V822	"Occupant of streetcar injured in collision with or hit by rolling stock"
V823	"Occupant of streetcar injured in collision with other object"
V824	"Person injured while boarding or alighting from streetcar"
V825	"Occupant of streetcar injured by fall in streetcar"
V826	"Occupant of streetcar injured by fall from streetcar"
V827	"Occupant of streetcar injured in derailment without antecedent collision"
V828	"Occupant of streetcar injured in other specified transport accidents"
V829	"Occupant of streetcar injured in unspecified traffic accident"
V83	"Occupant of special vehicle mainly used on industrial premises injured in transport accident"
V830	"Driver of special industrial vehicle injured in traffic accident"
V831	"Passenger of special industrial vehicle injured in traffic accident"
V832	"Person on outside of special industrial vehicle injured in traffic accident"
V833	"Unspecified occupant of special industrial vehicle injured in traffic accident"
V834	"Person injured while boarding or alighting from special industrial vehicle"
V835	"Driver of special industrial vehicle injured in nontraffic accident"
V836	"Passenger of special industrial vehicle injured in nontraffic accident"
V837	"Person on outside of special industrial vehicle injured in nontraffic accident"
V839	"Unspecified occupant of special industrial vehicle injured in nontraffic accident"
V84	"Occupant of special vehicle mainly used in agriculture injured in transport accident"
V840	"Driver of special agricultural vehicle injured in traffic accident"
V841	"Passenger of special agricultural vehicle injured in traffic accident"
V842	"Person on outside of special agricultural vehicle injured in traffic accident"
V843	"Unspecified occupant of special agricultural vehicle injured in traffic accident"
V844	"Person injured while boarding or alighting from special agricultural vehicle"
V845	"Driver of special agricultural vehicle injured in nontraffic accident"
V846	"Passenger of special agricultural vehicle injured in nontraffic accident"
V847	"Person on outside of special agricultural vehicle injured in nontraffic accident"
V849	"Unspecified occupant of special agricultural vehicle injured in nontraffic accident"
V85	"Occupant of special construction vehicle injured in transport accident"
V850	"Driver of special construction vehicle injured in traffic accident"
V851	"Passenger of special construction vehicle injured in traffic accident"
V852	"Person on outside of special construction vehicle injured in traffic accident"
V853	"Unspecified occupant of special construction vehicle injured in traffic accident"
V854	"Person injured while boarding or alighting from special construction vehicle"
V855	"Driver of special construction vehicle injured in nontraffic accident"
V856	"Passenger of special construction vehicle injured in nontraffic accident"
V857	"Person on outside of special construction vehicle injured in nontraffic accident"
V859	"Unspecified occupant of special construction vehicle injured in nontraffic accident"
V86	"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use	 injured in transport accident"
V860	"Driver of all-terrain or other off-road motor vehicle injured in traffic accident"
V861	"Passenger of all-terrain or other off-road motor vehicle injured in traffic accident"
V862	"Person on outside of all-terrain or other off-road motor vehicle injured in traffic accident"
V863	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident"
V864	"Person injured while boarding or alighting from all-terrain or other off-road motor vehicle"
V865	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"
V866	"Passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident"
V867	"Person on outside of all-terrain or other off-road motor vehicle injured in nontraffic accident"
V869	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"
V87	"Traffic accident of specified type but victim's mode of transport unknown"
V870	"Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)"
V871	"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)"
V872	"Person injured in collision between car and pick-up truck or van (traffic)"
V873	"Person injured in collision between car and bus (traffic)"
V874	"Person injured in collision between car and heavy transport vehicle (traffic)"
V875	"Person injured in collision between heavy transport vehicle and bus (traffic)"
V876	"Person injured in collision between railway train or railway vehicle and car (traffic)"
V877	"Person injured in collision between other specified motor vehicles (traffic)"
V878	"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)"
V879	"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic)"
V88	"Nontraffic accident of specified type but victim's mode of transport unknown"
V880	"Person injured in collision between car and two- or three-wheeled motor vehicle	 nontraffic"
V881	"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle	 nontraffic"
V882	"Person injured in collision between car and pick-up truck or van	 nontraffic"
V883	"Person injured in collision between car and bus	 nontraffic"
V884	"Person injured in collision between car and heavy transport vehicle	 nontraffic"
V885	"Person injured in collision between heavy transport vehicle and bus	 nontraffic"
V886	"Person injured in collision between railway train or railway vehicle and car	 nontraffic"
V887	"Person injured in collision between other specified motor vehicles	 nontraffic"
V888	"Person injured in other specified noncollision transport accidents involving motor vehicle	 nontraffic"
V889	"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle	 nontraffic"
V89	"Motor- or nonmotor-vehicle accident	 type of vehicle unspecified"
V890	"Person injured in unspecified motor-vehicle accident	 nontraffic"
V891	"Person injured in unspecified nonmotor-vehicle accident	 nontraffic"
V892	"Person injured in unspecified motor-vehicle accident	 traffic"
V893	"Person injured in unspecified nonmotor-vehicle accident	 traffic"
V899	"Person injured in unspecified vehicle accident"
V90	"Accident to watercraft causing drowning and submersion"
V900	"Accident to watercraft causing drowning and submersion: Merchant ship"
V901	"Accident to watercraft causing drowning and submersion: Passenger ship"
V902	"Accident to watercraft causing drowning and submersion: Fishing boat"
V903	"Accident to watercraft causing drowning and submersion: Other powered watercraft"
V904	"Accident to watercraft causing drowning and submersion: Sailboat"
V905	"Accident to watercraft causing drowning and submersion: Canoe or kayak"
V906	"Accident to watercraft causing drowning and submersion: Inflatable craft (nonpowered)"
V907	"Accident to watercraft causing drowning and submersion: Water-skis"
V908	"Accident to watercraft causing drowning and submersion: Other unpowered watercraft"
V909	"Accident to watercraft causing drowning and submersion: Unspecified watercraft"
V91	"Accident to watercraft causing other injury"
V910	"Accident to watercraft causing other injury: Merchant ship"
V911	"Accident to watercraft causing other injury: Passenger ship"
V912	"Accident to watercraft causing other injury: Fishing boat"
V913	"Accident to watercraft causing other injury: Other powered watercraft"
V914	"Accident to watercraft causing other injury: Sailboat"
V915	"Accident to watercraft causing other injury: Canoe or kayak"
V916	"Accident to watercraft causing other injury: Inflatable craft (nonpowered)"
V917	"Accident to watercraft causing other injury: Water-skis"
V918	"Accident to watercraft causing other injury: Other unpowered watercraft"
V919	"Accident to watercraft causing other injury: Unspecified watercraft"
V92	"Water-transport-related drowning and submersion without accident to watercraft"
V920	"Water-transport-related drowning and submersion without accident to watercraft: Merchant ship"
V921	"Water-transport-related drowning and submersion without accident to watercraft: Passenger ship"
V922	"Water-transport-related drowning and submersion without accident to watercraft: Fishing boat"
V923	"Water-transport-related drowning and submersion without accident to watercraft: Other powered watercraft"
V924	"Water-transport-related drowning and submersion without accident to watercraft: Sailboat"
V925	"Water-transport-related drowning and submersion without accident to watercraft: Canoe or kayak"
V926	"Water-transport-related drowning and submersion without accident to watercraft: Inflatable craft (nonpowered)"
V927	"Water-transport-related drowning and submersion without accident to watercraft: Water-skis"
V928	"Water-transport-related drowning and submersion without accident to watercraft: Other unpowered watercraft"
V929	"Water-transport-related drowning and submersion without accident to watercraft: Unspecified watercraft"
V93	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion"
V930	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Merchant ship"
V931	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Passenger ship"
V932	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Fishing boat"
V933	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Other powered watercraft"
V934	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Sailboat"
V935	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Canoe or kayak"
V936	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Inflatable craft (nonpowered)"
V937	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Water-skis"
V938	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Other unpowered watercraft"
V939	"Accident on board watercraft without accident to watercraft	 not causing drowning and submersion: Unspecified watercraft"
V94	"Other and unspecified water transport accidents"
V940	"Other and unspecified water transport accidents: Merchant ship"
V941	"Other and unspecified water transport accidents: Passenger ship"
V942	"Other and unspecified water transport accidents: Fishing boat"
V943	"Other and unspecified water transport accidents: Other powered watercraft"
V944	"Other and unspecified water transport accidents: Sailboat"
V945	"Other and unspecified water transport accidents: Canoe or kayak"
V946	"Other and unspecified water transport accidents: Inflatable craft (nonpowered)"
V947	"Other and unspecified water transport accidents: Water-skis"
V948	"Other and unspecified water transport accidents: Other unpowered watercraft"
V949	"Other and unspecified water transport accidents: Unspecified watercraft"
V95	"Accident to powered aircraft causing injury to occupant"
V950	"Helicopter accident injuring occupant"
V951	"Ultralight	 microlight or powered-glider accident injuring occupant"
V952	"Accident to other private fixed-wing aircraft	 injuring occupant"
V953	"Accident to commercial fixed-wing aircraft	 injuring occupant"
V954	"Spacecraft accident injuring occupant"
V958	"Other aircraft accidents injuring occupant"
V959	"Unspecified aircraft accident injuring occupant"
V96	"Accident to nonpowered aircraft causing injury to occupant"
V960	"Balloon accident injuring occupant"
V961	"Hang-glider accident injuring occupant"
V962	"Glider (nonpowered) accident injuring occupant"
V968	"Other nonpowered-aircraft accidents injuring occupant"
V969	"Unspecified nonpowered-aircraft accident injuring occupant"
V97	"Other specified air transport accidents"
V970	"Occupant of aircraft injured in other specified air transport accidents"
V971	"Person injured while boarding or alighting from aircraft"
V972	"Parachutist injured in air transport accident"
V973	"Person on ground injured in air transport accident"
V978	"Other air transport accidents	 not elsewhere classified"
V98	"Other specified transport accidents"
V99	"Unspecified transport accident"
W00	"Fall on same level involving ice and snow"
W01	"Fall on same level from slipping	 tripping and stumbling"
W02	"Fall involving ice-skates	 skis	 roller-skates or skateboards"
W03	"Other fall on same level due to collision with	 or pushing by	 another person"
W04	"Fall while being carried or supported by other persons"
W05	"Fall involving wheelchair"
W06	"Fall involving bed"
W07	"Fall involving chair"
W08	"Fall involving other furniture"
W09	"Fall involving playground equipment"
W10	"Fall on and from stairs and steps"
W11	"Fall on and from ladder"
W12	"Fall on and from scaffolding"
W13	"Fall from	 out of or through building or structure"
W14	"Fall from tree"
W15	"Fall from cliff"
W16	"Diving or jumping into water causing injury other than drowning or submersion"
W17	"Other fall from one level to another"
W18	"Other fall on same level"
W19	"Unspecified fall"
W20	"Struck by thrown	 projected or falling object"
W21	"Striking against or struck by sports equipment"
W22	"Striking against or struck by other objects"
W23	"Caught	 crushed	 jammed or pinched in or between objects"
W24	"Contact with lifting and transmission devices	 not elsewhere classified"
W25	"Contact with sharp glass"
W26	"Contact with knife	 sword or dagger"
W27	"Contact with nonpowered hand tool"
W28	"Contact with powered lawnmower"
W29	"Contact with other powered hand tools and household machinery"
W30	"Contact with agricultural machinery"
W31	"Contact with other and unspecified machinery"
W32	"Handgun discharge"
W33	"Rifle	 shotgun and larger firearm discharge"
W34	"Discharge from other and unspecified firearms"
W35	"Explosion and rupture of boiler"
W36	"Explosion and rupture of gas cylinder"
W37	"Explosion and rupture of pressurized tyre	 pipe or hose"
W38	"Explosion and rupture of other specified pressurized devices"
W39	"Discharge of firework"
W40	"Explosion of other materials"
W41	"Exposure to high-pressure jet"
W42	"Exposure to noise"
W43	"Exposure to vibration"
W44	"Foreign body entering into or through eye or natural orifice"
W45	"Foreign body or object entering through skin"
W46	"Contact with hypodermic needle"
W49	"Exposure to other and unspecified inanimate mechanical forces"
W50	"Hit	 struck	 kicked	 twisted	 bitten or scratched by another person"
W51	"Striking against or bumped into by another person"
W52	"Crushed	 pushed or stepped on by crowd or human stampede"
W53	"Bitten by rat"
W54	"Bitten or struck by dog"
W55	"Bitten or struck by other mammals"
W56	"Contact with marine animal"
W57	"Bitten or stung by nonvenomous insect and other nonvenomous arthropods"
W58	"Bitten or struck by crocodile or alligator"
W59	"Bitten or crushed by other reptiles"
W60	"Contact with plant thorns and spines and sharp leaves"
W64	"Exposure to other and unspecified animate mechanical forces"
W65	"Drowning and submersion while in bath-tub"
W66	"Drowning and submersion following fall into bath-tub"
W67	"Drowning and submersion while in swimming-pool"
W68	"Drowning and submersion following fall into swimming-pool"
W69	"Drowning and submersion while in natural water"
W70	"Drowning and submersion following fall into natural water"
W73	"Other specified drowning and submersion"
W74	"Unspecified drowning and submersion"
W75	"Accidental suffocation and strangulation in bed"
W76	"Other accidental hanging and strangulation"
W77	"Threat to breathing due to cave-in	 falling earth and other substances"
W78	"Inhalation of gastric contents"
W79	"Inhalation and ingestion of food causing obstruction of respiratory tract"
W80	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"
W81	"Confined to or trapped in a low-oxygen environment"
W83	"Other specified threats to breathing"
W84	"Unspecified threat to breathing"
W85	"Exposure to electric transmission lines"
W86	"Exposure to other specified electric current"
W87	"Exposure to unspecified electric current"
W88	"Exposure to ionizing radiation"
W89	"Exposure to man-made visible and ultraviolet light"
W90	"Exposure to other nonionizing radiation"
W91	"Exposure to unspecified type of radiation"
W92	"Exposure to excessive heat of man-made origin"
W93	"Exposure to excessive cold of man-made origin"
W94	"Exposure to high and low air pressure and changes in air pressure"
W99	"Exposure to other and unspecified man-made environmental factors"
X00	"Exposure to uncontrolled fire in building or structure"
X01	"Exposure to uncontrolled fire	 not in building or structure"
X02	"Exposure to controlled fire in building or structure"
X03	"Exposure to controlled fire	 not in building or structure"
X04	"Exposure to ignition of highly flammable material"
X05	"Exposure to ignition or melting of nightwear"
X06	"Exposure to ignition or melting of other clothing and apparel"
X08	"Exposure to other specified smoke	 fire and flames"
